slug,name,abbreviation,aliases,description,address,lat,lng,mon,tue,wed,thu,fri,sat,sun,image_url,source,location_verified_by
bizzell-memorial-library,Bizzell Memorial Library,,Bizzell;the library;Bizzell Library;main library,"OU's main library, between the North and South Ovals.",,35.208047,-97.445894,,,,,,,,,osm,
evans-hall,Evans Hall,,admin building;administration building,Administration building on the North Oval.,,35.208509,-97.445693,,,,,,,,,osm,
oklahoma-memorial-union,Oklahoma Memorial Union,OMU,the Union;Union;student union;Memorial Union,"Student union with the food court, bookstore and meeting space.",,35.209325,-97.444335,,,,,,,,,osm,
adams-hall,Adams Hall,,,Part of the Price College of Business.,,35.207953,-97.444403,,,,,,,,,osm,
price-hall,Price Hall,,Price College;Price College of Business;business school,Price College of Business.,307 West Brooks Street,35.207936,-97.443798,,,,,,,,,osm,
buchanan-hall,Buchanan Hall,,Buchanan,,1000 Asp Avenue,35.208501,-97.444481,,,,,,,,,osm,
burton-hall,Burton Hall,,,,610 Elm Avenue,35.208992,-97.448494,,,,,,,,,osm,
carl-albert-center,Carl Albert Center,,Carl Albert Congressional Research and Studies Center,,630 Parrington Oval,35.209402,-97.445020,,,,,,,,,osm,
carnegie-building,Carnegie Building,,Carnegie,,,35.208883,-97.445076,,,,,,,,,osm,
carpenter-hall,Carpenter Hall,,,,,35.210326,-97.444172,,,,,,,,,osm,
carson-engineering-center,Carson Engineering Center,CEC,Carson,Gallogly College of Engineering.,202 West Boyd Street,35.210758,-97.442805,,,,,,,,,osm,
catlett-music-center,Catlett Music Center,,Catlett;music building;School of Music,School of Music.,500 West Boyd Street,35.210412,-97.448421,,,,,,,,,osm,
chemistry-building,Chemistry Building,,chem building;Chemistry,Chemistry and biochemistry.,680 Parrington Oval,35.209402,-97.446302,,,,,,,,,osm,
chemistry-annex,Chemistry Annex,,,,680 Parrington Oval,35.209418,-97.446696,,,,,,,,,osm,
charles-m-russell-center,Charles M. Russell Center,,Russell Center,,,35.211930,-97.446688,,,,,,,,,osm,
