slug,name,building_slug,lat,lng,cuisine_type,accepts_meal_plan,menu_url,mon,tue,wed,thu,fri,sat,sun,source,verified_on
couch-restaurants,Couch Restaurants,couch-restaurants,35.200341,-97.445704,Dining hall,true,,,,,,,,,osm,
residential-colleges-dining-hall,Residential Colleges' Dining Hall,,35.203428,-97.442802,Dining hall,true,,"08:00-14:00,16:30-20:00","08:00-14:00,16:30-20:00","08:00-14:00,16:30-20:00","08:00-14:00,16:30-20:00","08:00-14:00,16:30-20:00","11:00-14:00,16:00-19:00","11:00-14:00,16:00-19:00",osm,
crossroads,Crossroads,oklahoma-memorial-union,35.208978,-97.444407,American,,,,,,,,,,osm,
chick-fil-a-union,Chick-fil-A,oklahoma-memorial-union,35.209756,-97.444160,Chicken,,,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-15:00,closed,osm,
starbucks-union,Starbucks,oklahoma-memorial-union,35.209234,-97.444152,Coffee,,,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-17:00,closed,closed,osm,
crimson-panda,Crimson Panda,oklahoma-memorial-union,35.209669,-97.444153,Chinese,,,,,,,,,,osm,
quiznos-union,Quiznos,oklahoma-memorial-union,35.209637,-97.444222,Sandwiches,,,,,,,,,,osm,
baja-fresh-union,Baja Fresh,oklahoma-memorial-union,35.209772,-97.444225,Mexican,,,,,,,,,,osm,
university-club,University Club,oklahoma-memorial-union,35.209709,-97.444184,American,,,11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,closed,closed,osm,
the-bookmark,The Bookmark,bizzell-memorial-library,35.208035,-97.446250,Coffee,,,,,,,,,,osm,
einstein-bros-bagels,Einstein Bros Bagels,,35.203585,-97.440947,Bagels & breakfast,,,closed,07:30-13:00,07:30-13:00,07:30-13:00,07:30-13:00,07:30-15:00,07:30-15:00,osm,
amicus-cafe,Amicus Cafe,coats-hall,35.196098,-97.446459,Coffee,,,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,closed,closed,osm,
cafe-201,Cafe 201,tom-love-innovation-hub,35.183620,-97.438141,Cafe,,,07:45-14:00,07:45-14:00,07:45-14:00,07:45-14:00,07:45-14:00,closed,closed,osm,
flying-cow-cafe,The Flying Cow Cafe,national-weather-center,35.181274,-97.439970,American,,,07:30-15:00,07:30-15:00,07:30-15:00,07:30-15:00,07:30-15:00,closed,closed,osm,
the-hive,The Hive,,35.198735,-97.443840,"Coffee, crepes & donuts",,,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,closed,closed,osm,
basic-knead,Basic Knead,,35.198736,-97.443950,Pizza & pasta,,,13:00-00:00,13:00-00:00,13:00-00:00,13:00-00:00,13:00-22:00,closed,16:00-00:00,osm,
credo-kitchen,Credo Kitchen,,35.199320,-97.443945,Burgers & chicken,,,13:00-00:00,13:00-00:00,13:00-00:00,13:00-00:00,13:00-22:00,closed,16:00-00:00,osm,
glow-kitchen,Glow Kitchen,,35.199149,-97.443937,"Bubble tea, tea & sandwiches",,,13:00-00:00,13:00-00:00,13:00-00:00,13:00-00:00,13:00-22:00,closed,closed,osm,
milkflower-gelateria,Milkflower Gelateria,,35.199007,-97.443935,Gelato,,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,13:30-22:00,closed,closed,osm,
sushi-with-gusto,Sushi with Gusto,,35.198299,-97.443908,Sushi,,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,closed,closed,osm,
pitchfork-taqueria,Pitchfork Taqueria,,35.198407,-97.443903,Mexican,,,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,closed,closed,osm,
the-range,The Range,,35.198335,-97.443877,Breakfast & sandwiches,,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-17:00,closed,closed,osm,
